providerNum,productRef,productDesignation,productPrice,productProReduc,productCltReduc,productQty,productAlert,productDescription
11,HUT1070K6,Courroie Trapezoidale A Nervures VwAudiSkoda Seat 16Tdi,106.8,38.89,0,10,2,Courroie Trapezoidale A Nervures VwAudiSkoda Seat 16Tdi
11,HUT1022SK4,Courroie Trapezoidale A Nervures Fiat PuntoDoblo 13D,108.0,42.04,0,10,2,Courroie Trapezoidale A Nervures Fiat PuntoDoblo 13D
11,HUT1000K6,Courroie Trapezoidale A Nervures Citroen Peugeot,109.2,38.46,0,10,2,Courroie Trapezoidale A Nervures Citroen Peugeot
11,HUT1125K6,Courroie Trapezoidale A Nervures Dacia Dokker Lodgy,118.18,38.06,0,10,2,Courroie Trapezoidale A Nervures Dacia Dokker Lodgy
11,HUT1140K6,Courroie Trapezoidale A Nervures Toyota Corolla,135.11,38.09,0,10,2,Courroie Trapezoidale A Nervures Toyota Corolla
11,HUT1153K6,Courroie Trapezoidale A Nervures Citroen PeugeotDacia,119.0,40.15,0,10,2,Courroie Trapezoidale A Nervures Citroen PeugeotDacia
11,HUT1400K6,Courroie Trapezoidale A Nervures RKangoo 15 DCI,130.8,38.89,0,10,2,Courroie Trapezoidale A Nervures RKangoo 15 DCI
11,HUT1468k6,Courroie Trapezoidale A Nervures Citroen Peugeot 20Hdi,159.24,40.78,0,10,2,Courroie Trapezoidale A Nervures Citroen Peugeot 20Hdi
11,HUT1515K6,Courroie Trapezoidale A Nervures HyundaiKIA,154.8,38.26,0,10,2,Courroie Trapezoidale A Nervures HyundaiKIA
11,HUT1520K6,Courroie Trapezoidale A Nervures SkodaVwFord,170.4,38.89,0,10,2,Courroie Trapezoidale A Nervures SkodaVwFord
11,HUT1658K6,Courroie Trapezoidale A Nervures VwAudiSkoda Seat 19D,177.98,41.41,0,10,2,Courroie Trapezoidale A Nervures VwAudiSkoda Seat 19D
11,HUT1725K6,Courroie Trapezoidale A Nervures Citroen OpelFiat,165.6,37.83,0,10,2,Courroie Trapezoidale A Nervures Citroen OpelFiat
11,HUT2002K6,Courroie Trapezoidale A Nervures Mercedes 207307,215.5,43.2,0,10,2,Courroie Trapezoidale A Nervures Mercedes 207307
11,HUT2215k6,Courroie Trapezoidale A Nervures Mercedes Sprinter M906W204,192.0,44.38,0,10,2,Courroie Trapezoidale A Nervures Mercedes Sprinter M906W204
11,HUT2260K6,Courroie Trapezoidale A Nervures Mercedes Sprinter M902903904,186.0,41.94,0,10,2,Courroie Trapezoidale A Nervures Mercedes Sprinter M902903904
11,HUT750k3,Courroie Trapezoidale A Nervures DaciaRenault Ess,48.0,37.62,0,10,2,Courroie Trapezoidale A Nervures DaciaRenault Ess
11,HUT775K4,Courroie Trapezoidale A Nervures Toyota Hiace 24D,75.14,40.91,0,10,2,Courroie Trapezoidale A Nervures Toyota Hiace 24D
11,HUT780k4,Courroie Trapezoidale A Nervures Bmw HyundaiOpel,66.3,47.51,0,10,2,Courroie Trapezoidale A Nervures Bmw HyundaiOpel
11,HUT870K6,Courroie Trapezoidale A Nervures RenaultOpel,89.54,37.63,0,10,2,Courroie Trapezoidale A Nervures RenaultOpel
11,HUT963K6,Courroie Trapezoidale A Nervures PartnerBerlingo B9 16Hdi,133.98,39.1,0,10,2,Courroie Trapezoidale A Nervures PartnerBerlingo B9 16Hdi
11,HUT985K6,Courroie Trapezoidale A Nervures Bmw 116118i F2021,102.48,40.78,0,10,2,Courroie Trapezoidale A Nervures Bmw 116118i F2021
11,HUTKH101C,Kit de Distribution DACIA RENAULTNISSAN 123X27,540.0,44.44,0,10,2,Kit de Distribution DACIA RENAULTNISSAN 123X27
11,HUTKH450,Kit de Distribution Citroen PeugeotFord 141x25,951.52,45.9,0,10,2,Kit de Distribution Citroen PeugeotFord 141x25
11,HUTKH505,Kit de Distribution VwSeatSkodaAudi 145x25,1093.36,41.83,0,10,2,Kit de Distribution VwSeatSkodaAudi 145x25
11,INA422024610,CULBUTEURDISTRIBUTION BMWTOYOTA AURISAVENSISMINI 042020,167.22,39.0,0,10,2,CULBUTEURDISTRIBUTION BMWTOYOTA AURISAVENSISMINI 042020
11,INA529013410,KIT DE DISTRIBUTION AUDI A3 19TDIVW GOLF VISEATSKODA,1394.71,38.89,0,10,2,KIT DE DISTRIBUTION AUDI A3 19TDIVW GOLF VISEATSKODA
11,INA530065010,KIT DISTRIBUTION VWAUDISEATSKODA 16TDI 145DENTSX25,1680.43,43.47,0,10,2,KIT DISTRIBUTION VWAUDISEATSKODA 16TDI 145DENTSX25
11,INA530069810,KIT DE DISTRIBUTION PEUGEOTCITROENOPELFORD 20X141DENTS,1560.54,44.75,0,10,2,KIT DE DISTRIBUTION PEUGEOTCITROENOPELFORD 20X141DENTS
11,INA531067810,TENDEUR CD VWAUDI 20FSI 67285,839.22,38.51,0,10,2,TENDEUR CD VWAUDI 20FSI 67285
9,0.010.6017.0,SOUPAD L130SIEGE 44TIGE 9ANGLE 30 SAME TRACTEUR,118.49,35.0,0,10,2,SOUPAD L130SIEGE 44TIGE 9ANGLE 30 SAME TRACTEUR
9,0.010.6022.0,SOUPEX L130SIEGE 3950TIGE 9ANGLE 45 SAME TRACTEUR,118.15,35.0,0,10,2,SOUPEX L130SIEGE 3950TIGE 9ANGLE 45 SAME TRACTEUR
9,0.051.0050.6,POCHETTE COMPSAME TRACTEUR EXPLORER II,1796.76,35.0,0,10,2,POCHETTE COMPSAME TRACTEUR EXPLORER II
9,0.065.1215.0/1216,Coussinet de palier moteur Same 916A 916W 10003A 10003W,118.72,35.0,0,10,2,Coussinet de palier moteur Same 916A 916W 10003A 10003W
9,0.065.1218.0,CAL LATERAL SAME TRACTEUR,101.82,35.0,0,10,2,CAL LATERAL SAME TRACTEUR
9,0.065.1450.0/30,JOINT CACHE SOUP SAME TRACTEUR,70.87,34.99,0,10,2,JOINT CACHE SOUP SAME TRACTEUR
9,0.081.0090.6/10,JSEGMENT D105 STD SAME 3X25X4,205.04,35.0,0,10,2,JSEGMENT D105 STD SAME 3X25X4
9,0.099.0060.B,PISTON SANS SEG D105AXE 35HU5725CH603X25X4 SAME TRACTEUR,704.94,35.0,0,10,2,PISTON SANS SEG D105AXE 35HU5725CH603X25X4 SAME TRACTEUR
9,00101V0,JS D89 25x2x3 MERCEDES SPRINTER 901 904 0874310000,269.07,35.0,0,10,2,JS D89 25x2x3 MERCEDES SPRINTER 901 904 0874310000
9,00136N0,BSEG MERCEDES C200  D88  25X2X3 479025308912740000,414.78,35.0,0,10,2,BSEG MERCEDES C200  D88  25X2X3 479025308912740000
9,00192N0,JS  MERCEDES 200  220 OM 615 D87 2x2x40817070010,331.82,35.0,0,10,2,JS  MERCEDES 200  220 OM 615 D87 2x2x40817070010
9,001AS18744000,CAL MERCEDES 240,263.0,35.0,0,10,2,CAL MERCEDES 240
9,001AS18744020,CAL MERCEDES 240,125.74,35.0,0,10,2,CAL MERCEDES 240
9,001AS18750010,CAL MERCEDES 190  250 45CYL,186.72,35.0,0,10,2,CAL MERCEDES 190  250 45CYL
